"","logFC","logCPM","F","PValue","FDR"
"GBP1",1.4528090601057,8.40434373408671,12.2572419141044,0.000953450729672885,0.19964265515855
"SNORD114-20",-2.40199035283616,0.643318924778972,12.2555090046642,0.000954167741993683,0.19964265515855
"HBB",2.27849693993474,7.2325299374793,12.2269977314406,0.000966045999428792,0.19964265515855
"ITGA10",-2.08936166707212,6.53046677405752,12.0967004021607,0.00102233325854388,0.206873394588264
"FBXO6",0.809589981294603,2.66660432119948,12.0395188064865,0.00104455217217475,0.207055821394558
"CCL3",1.26722462471646,4.70603983322075,11.903314889082,0.00111228540008273,0.216072561820071
"AREG",-1.68687611796941,4.43338394425273,11.7949284016652,0.00116628948143206,0.222120975159796
"RPGR",-0.734763863985059,7.25507293689871,11.7125995545792,0.00120610514965341,0.225286525357377
"ATP6V1B2",0.64263702870262,7.67205672617797,11.6497029213707,0.00123898805603508,0.225429479396395
"CEP57",-0.463673834191011,6.55186056840771,11.5807964446599,0.00127712733920153,0.225429479396395
"SOX13",0.892256507406714,5.14894662430524,11.5480055656119,0.00129949622832416,0.225429479396395
"HERPUD1",0.485669950933061,6.4657126777141,11.5410105162114,0.00129970666593206,0.225429479396395
"DCUN1D5",-0.764632592686005,5.05313489724232,11.4185732718927,0.00137260118325729,0.229441797164119
"RARRES3",1.32872447938746,3.70530028902777,11.3977480871042,0.00138885123013301,0.229441797164119
"CCL3L3",1.14264376187218,3.60815086597579,11.3393717455643,0.00142513875440209,0.229441797164119
"ZNF354C",-0.889648865628497,3.95997343951642,11.3210789057476,0.00143496174576461,0.229441797164119
"CD8A",1.67240624823753,5.64524148600282,11.3144210328149,0.00144095023442924,0.229441797164119
"IL18BP",0.77904512969128,3.2391131697183,11.0659908267341,0.00160402430769377,0.251288517752091
"TRPM7",-0.541383818716979,7.90280531309124,10.9791484435815,0.00166730146258993,0.255599138399793
"OAS3",0.957279879036231,5.41139701322012,10.9631302627641,0.00168417016962697,0.255599138399793
"ASNS",-0.911081369867037,4.8187327458928,10.8463441010108,0.00177426501451807,0.259119407422807
"ATP2A1",1.52253214835439,4.99008818592213,10.8327522326699,0.0017850740694026,0.259119407422807
"CLOCK",-0.918821037829456,7.28353328108117,10.8295085784975,0.00178766380583906,0.259119407422807
"BCL2A1",1.30073340349763,5.1426444423754,10.7967059245796,0.00181407595024718,0.259119407422807
"PRB4",-1.69944884845796,4.21082319542018,10.7325271105974,0.0018669422214403,0.260959811835719
"ADCY6",-0.717336479280009,5.49558975310985,10.69206609379,0.00189589276828246,0.260959811835719
"TRIM21",0.764216277838011,4.47409062667338,10.6700847836693,0.00191462867018009,0.260959811835719
"APPL1",-0.432175083468203,6.57780042839828,10.6471040744012,0.00193442875035229,0.260959811835719
"TRGC1",1.55907607927088,3.22268013186799,10.5804962726602,0.00199872679965398,0.264559971885322
"CST7",1.05115837208277,1.86898568750422,10.5556915077972,0.00201559126114628,0.264559971885322
"MCTP2",1.45774613234521,5.41039159475081,10.5167080790079,0.0020568936256117,0.266381437140886
"CCDC127",-0.795354094972573,3.34583834508685,10.4520366811098,0.00211196236053282,0.26991434747178
"XAF1",0.923560267172875,5.43310589584236,10.364182558851,0.00220329631384613,0.27453459399551
"ZNF790",-0.638368461893058,4.42673072653446,10.3569290798909,0.00220464308984349,0.27453459399551
"TYMP",0.84286600949989,5.87078975051188,10.3031646554719,0.0022647088285178,0.278444517106246
"PARP9",0.748975879579606,6.71878270417004,10.2305586996022,0.00233775478936308,0.28187931463585
"SLC27A3",1.21329025922522,4.88024112641375,10.2210135059556,0.00235068717033912,0.28187931463585
"OAS1",0.898873864865504,4.87474995412605,10.1899948299735,0.00238396348688865,0.281929394791285
"IL15RA",0.933752202600463,2.40878421922079,10.1449304717377,0.00242693037020757,0.281929394791285
"LMBRD2",-0.378700929583291,5.31586320440507,10.1060786328783,0.00247015670989292,0.281929394791285
"NFKBIE",0.681101764576137,3.34451720744229,10.1045619373633,0.00247186047978863,0.281929394791285
"VAMP5",0.962504560523191,4.31615157591575,10.0885974282631,0.00249623473201385,0.281929394791285
"BTN3A3",0.759493751135891,6.84975547356548,10.0469439304887,0.00254178157855349,0.28377384451138
"OAS2",1.02511978535668,4.67671320670007,9.9941189970943,0.00260584710392106,0.28743787657307
"IL4I1",1.25073148861812,3.39538584619708,9.95689974313099,0.0026504057553651,0.28743787657307
"MAP4K5",-0.467612426195177,7.57709328866447,9.94071795612285,0.00266337989205974,0.28743787657307
"PSMB10",0.609894222479654,4.11232545604577,9.88196445063304,0.00273580012269709,0.2920090834259
"NEB",2.10748058843881,10.0267223635341,9.86222936531122,0.00276738912913518,0.292170115340109
"BTN3A1",0.719377426565665,6.90150095322383,9.80757616463223,0.00283387037593938,0.293545747709876
"ABCA10",-1.5204256378462,5.95069474927782,9.80429427555164,0.00284164345780455,0.293545747709876
"SMARCE1",-0.349858866718302,6.26020936121489,9.75006794557062,0.00290601417346552,0.293545747709876
"WWTR1",-0.997023573693569,5.61205256532359,9.74008429438682,0.00292639154786723,0.293545747709876
"EXOC3",-0.862654696760058,6.2688221960311,9.73605747334178,0.00293179410754641,0.293545747709876
"STAT2",0.506228734477011,8.16192794883984,9.68267066004832,0.00299725192618439,0.293545747709876
