Sample	B.cells	Macrophages.M1	Macrophages.M2	Monocytes	Neutrophils	NK.cells	T.cells.CD4	T.cells.CD8	Tregs	Dendritic.cells	Other
ERR2208900	0.0702310692846492	0.0192447335925516	0.0232249579950157	0.0207753359855586	0.0258515751120549	0.0040867613805222	0	0.0577718368653325	0.0124404602990013	0.0127055736282531	0.753667695857061
ERR2208901	0.0140388893968974	0.00270952130798437	0.0182307333410847	0.00624844066418101	0.0357767732998385	0.00646328323778733	0	0.00218091412854578	0.0097136637691719	0.0234036999682973	0.881234080886212
ERR2208902	0.0170576585626382	0.00877643295270169	0.018463661238191	0.0344848088351597	0.00531325633794727	0.00779227047969073	0	0.0297090639977577	0.0157456311324274	0	0.862657216463486
ERR2208903	0.0180630234506369	0.00395355615161408	0.00926298125037227	0.0355035369715755	0.0101304621623871	0.0120021204071107	0	0.00202582248567014	0.0177565539601506	0	0.891301943160483
ERR2208904	0.0280910268113545	0.00936126823983125	0.0115633481268104	0	0.0613324624396696	0.00429724509361316	0	0.0625271797532521	0.0206171273030443	0.0271224555767734	0.775087886655651
ERR2208906	0.0196424367775591	0.0171562210864198	0.017047631519038	0	0.127840081602691	0.00228139267631903	0	0.0446282256888769	0.0216052729353069	0.00111092815480836	0.748687809558981
ERR2208961	0.0265349179833815	0.026994492743779	0.0344191393075998	0.0145319036357039	0.00119118378199755	0.00429489647033826	0	0.137661014938267	0.0338224613394148	0.00994056622524016	0.710609423574278
ERR2208962	0.0185013967478649	0.0167517371481051	0.0209104934987087	0.000854884009340082	0.0438439697107116	0.00486982488567421	0	0.0298182140340006	0.0266063454585326	0.017580859890468	0.820262274616594
ERR2208964	0.0236296013593143	0.0397008714169431	0.0948044125700521	0	0.0153495124859613	0.00487648267849822	0	0.0538738692612375	0.0407769146165764	0.0219073237549753	0.705081011856442
ERR2208966	0.060895813721953	0.0319378174461653	0.0123545010569446	0.0351584271106419	0.0077408788725214	0.00738494764060712	0	0.0978907646441817	0.0434886022676405	0	0.703148247239344
ERR2208967	0.00888425949109402	0.00693108349279331	0.0137982817971262	0	0.0530042364144994	0.00351141660113326	0	0.0107390876363702	0.0109579919552303	0.0133654899861539	0.8788081526256
ERR2208968	0.0164986988338608	0.0045377726075958	0.0103405110038147	0.0102702245579798	0.00765752282662915	0.00641399442874843	0	0.00272222287090073	0.0115512540408265	0.0183283120414955	0.911679486788149
ERR2208969	0.01507564582966	0.0234540440448452	0.0176355337838397	0.00394198547821107	0.0218964602386528	0.0057351174583707	0	0.0223433406281929	0.0118479741997006	0.00514832750344971	0.872921570835077
ERR2208970	0.0162160117179109	0.0192886814983108	0.0145634734937299	0.025261141765087	0.0868979763827363	0.00483015079370364	0	0.0154830943646413	0.0129276530603117	0.0148422771994438	0.789689539724124
ERR2208971	0.0693645967093007	0.0166780362977628	0.0112774751991673	0	0.0705178768385784	0.0138251092174276	0	0.079529532263051	0.0277320830568557	0	0.711075290417857
ERR2208972	0.0122136302587687	0.00758466111289956	0.00552736120664747	0	0.117274443956802	0.00113968636991954	0	0.0134753547017377	0.0317146182523075	0	0.811070244140917
ERR2208973	0.162578700018086	0.0106127207397539	0.018260291952258	0	0.00704634761114274	0.0114589985366555	0.078197176858187	0.0459560379564066	0.0406341567804565	0.00723236233775252	0.618023207209301
ERR2208974	0.0316823904450419	0.0678300117662723	0.0300553072635013	0	0.0163466468093165	0.0026585760011112	0	0.0743169153869482	0.0200310726818374	0.0345768253080101	0.722502254337961
ERR2208977	0.0824362869010484	0.0132409876987116	0.0244682279608072	0	0.0281993272105708	0.00708269054821487	0	0.00987677947699035	0.0148500856344742	0.00931336524361474	0.810532249325568
ERR3262562	0.0172377663751377	0.0147782391331246	0.0185215178559681	0.0180905371019607	0.0204250442528964	0.00139936539502683	0	0.0417001206011803	0.0122188897173726	0.00687216006616711	0.848756359501166
ERR3262563	0.00997543412686153	0.0130529384292046	0.0191847797491785	0	0.0181464146353494	0.00545732970312249	0	0	0.0265218527067658	0.00921245467783669	0.898448795971681
ERR2208949	0.0198097682129136	0	0	0.136422461536208	0	0.00675491395588346	0.00805768175051168	0.00376329387094094	0.0148701969109138	0	0.810321683762629
ERR2208951	0.0488945163707659	0.0118935893370811	0.0235719000266683	0	0.0334590544156234	0.00691336441937646	0	0.0167639188798474	0.0363017354695168	0.0285308871537661	0.793671033927355
ERR2208952	0.0358262948719186	0.0184771040287931	0.0198240814314982	0.00600679385004907	0.0343679317903155	0.00757599201032865	0	0.0400158345001795	0.0428313811678412	0.00492422266591903	0.790150363683157
